question,opt1,opt2,opt3,opt4,answer,era,difficulty,hint
"""세븐틴"" 유닛 ""힙합 유닛"" 멤버가 아닌 사람은?,에스쿱스,우지,민규,도겸,도겸,modern,3,
"""Stray Kids"" ""GO 生(GO LIVE)"" 수록곡은?,신메뉴,소리꾼,MANIAC,TOP,신메뉴,modern,3,
"""ATEEZ"" 대표곡 중 하나는?,Say My Name,Wonderland,Answer,위 모두,위 모두,modern,3,
"""(여자)아이들"" 데뷔곡은?,LATATA,Senorita,HANN,DUMDi DUMDi,LATATA,modern,3,
"""TREASURE"" 데뷔 연도는?,2019년,2020년,2021년,2022년,2020년,modern,3,
"""ENHYPEN"" 소속사는?,HYBE (BELIFT LAB),JYP,SM,YG,HYBE (BELIFT LAB),modern,3,
"""STAYC"" 데뷔곡은?,SO BAD,ASAP,POPPY,RUN2U,SO BAD,modern,3,
"""Kep1er"" 데뷔 오디션 프로는?,걸스플래닛 999,프로듀스 48,아이돌학교,언프리티 랩스타,걸스플래닛 999,modern,3,
"""IVE"" 데뷔곡은?,ELEVEN,LOVE DIVE,After LIKE,I AM,ELEVEN,current,3,
"""I AM"" 발매 연도는?,2022년,2023년,2024년,2021년,2023년,current,3,
"""NewJeans"" 멤버 중 호주 국적 멤버는?,해린,다니엘,혜인,민지,다니엘,current,3,
"""ILLIT""의 ""Magnetic"" 발매 연도는?,2023년,2024년,2025년,2022년,2024년,current,3,
"""BABYMONSTER"" 데뷔 연도는?,2022년,2023년,2024년,2025년,2024년,current,4,
"""슈퍼주니어"" 멤버 중 ""동방신기"" 인원과 겹치는 멤버 수는?,0명,1명,2명,3명,0명,classic,3,
"""동방신기""에서 JYJ를 결성한 멤버 3인은?,재중·유천·준수,유노윤호·최강창민·시아준수,재중·최강창민·유노윤호,준수·유노윤호·시아준수,재중·유천·준수,classic,3,
"""MC몽""의 대표곡은?,I LOVE U OH THANK U,죽을 만큼 아파서,슈퍼맨,위 모두,위 모두,classic,3,
"""에픽하이""의 멤버 구성은?,타블로·미쓰라진·DJ 투컷,타이거JK·리쌍·드렁큰타이거,다이나믹듀오,MC몽·에픽하이,타블로·미쓰라진·DJ 투컷,classic,3,
"""다이나믹 듀오"" 멤버는?,개코·최자,이센스·버벌진트,타블로·미쓰라,팔로알토·스윙스,개코·최자,classic,3,
"""타이거JK""가 속한 크루는?,리쌍,무브먼트,YG,포스파이어,무브먼트,classic,3,
"""빅마마"" 멤버 중 ""신연아""의 현재 활동은?,솔로 활동 · 음악 감독,은퇴,드라마 배우,오페라 가수,솔로 활동 · 음악 감독,classic,3,
"""브라운아이드걸스"" 가인의 솔로 대표곡은?,피어나,돌이킬 수 없는,Bloom,위 모두,위 모두,classic,3,
"""소녀시대"" 태연의 솔로 데뷔곡은?,I,11:11,Weekend,Four Seasons,I,classic,3,
"""소녀시대"" 티파니의 국적은?,한국,미국·한국,캐나다,일본,미국·한국,classic,3,
"""서현""이 솔로 활동 시작한 해는?,2017년,2018년,2019년,2020년,2017년,classic,3,
"""윤하""의 대표곡 ""사건의 지평선""이 역주행한 해는?,2021년,2022년,2023년,2024년,2022년,classic,3,
"""선미""의 ""가시나"" 발매 연도는?,2016년,2017년,2018년,2019년,2017년,classic,3,
"""제시(Jessi)""가 속했던 그룹은?,언프리티 랩스타,우주소녀,지피 베이직,코위드,지피 베이직,classic,3,
"""씨엘(CL)""이 솔로 데뷔한 곡은?,HELLO BITCHES,LIFTED,Spicy,DOCTOR PEPPER,HELLO BITCHES,classic,3,
"""방탄소년단 정국""의 솔로곡 ""Seven"" 발매 연도는?,2022년,2023년,2024년,2021년,2023년,modern,3,
"""방탄소년단 지민""의 솔로 앨범 ""FACE"" 발매 연도는?,2022년,2023년,2024년,2021년,2023년,modern,3,
"""방탄소년단 뷔""의 솔로 앨범 ""Layover"" 발매 연도는?,2022년,2023년,2024년,2021년,2023년,modern,3,
"""제니(JENNIE)""의 솔로 데뷔곡은?,SOLO,YOU & ME,Mantra,ONE OF THE GIRLS,SOLO,modern,3,
"""로제(ROSÉ)""의 솔로 데뷔곡은?,On The Ground,Gone,APT.,Eyes Closed,On The Ground,modern,3,
"""지수(JISOO)""의 솔로 데뷔곡은?,꽃(FLOWER),Gone,DREAM,All Day,꽃(FLOWER),modern,3,
"""리사(LISA)""의 솔로 데뷔곡은?,LALISA,MONEY,ROCKSTAR,NEW WOMAN,LALISA,modern,3,
"""세븐틴"" ""HOT"" 발매 연도는?,2020년,2021년,2022년,2023년,2021년,modern,3,
"""세븐틴"" 유닛 ""BSS""가 히트한 곡은?,부승관의 힙합은 거들뿐,파이팅 해야지,Fighting,위 중 파이팅 해야지,파이팅 해야지,modern,3,
"""NCT DREAM"" 대표곡 ""버퍼링"" 장르는?,댄스 팝,힙합,발라드,R&B,댄스 팝,modern,3,
"""Stray Kids"" 리노의 본명은?,이민호,이노,이지훈,이찬,이민호,modern,3,
"""NewJeans""의 리더는?,민지,하니,다니엘,해린,민지,current,3,
"""NewJeans"" 해린의 국적은?,한국,호주,캐나다,베트남·호주,한국,current,3,
"""IVE"" 장원영의 출신 그룹은?,IZ*ONE,에이프릴,우주소녀,아이즈원 해체 후 IVE,IZ*ONE,current,3,
"""IZ*ONE"" 해체 연도는?,2020년,2021년,2022년,2023년,2021년,current,3,
"""RIIZE"" 멤버 수는 (2024)?,6명,7명,8명,5명,6명,current,4,
"""APT."" 듀엣곡 파트너는?,Bruno Mars,Jay Park,The Weeknd,Charlie Puth,Bruno Mars,current,4,
"""APT."" 노래에서 ""아파트""의 의미는?,한국 주거지,게임 용어 + 한국적 정서,단순 단어,영어 단어,게임 용어 + 한국적 정서,current,4,
